#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
1,El Club De Las Feas,Banda El Recodo,1/1/2006,120,81,70,-3,96,2:43,30,33,7276
2,El Año Viejo,Los Socios Del Ritmo,11/22/2019,81,91,67,-4,91,2:53,4,46,6752
3,Amor a Primera Vista,Los Angeles Azules,6/14/2019,170,76,66,-6,95,3:41,32,81,267
4,El Chico Del Apartamento 512,Selena,1994,102,65,76,-10,93,3:29,48,66,6664
5,Procura,ChiChi Peralta,7/1/1997,102,76,81,-7,97,4:33,31,13,1230
6,Pa' Olvidarme De Ella,Piso 21,9/6/2019,90,54,73,-5,64,3:47,26,87,8579
7,La Mejor De Todas,Banda El Recodo,1/1/2011,144,58,59,-5,90,3:27,45,71,6710
8,Alrededor del Árbol de Navidad,Banda Sinaloense MS de Sergio Lizárraga,11/29/2019,152,33,81,-7,77,2:05,4,54,1781
9,Como La Flor,Selena,1995,91,75,63,-8,87,3:05,16,65,6824
10,Ya Me Enteré,Los Angeles De Charly,10/4/2019,156,63,52,-4,43,2:38,1,55,291
11,Oye,La Sonora Dinamita,8/11/2015,112,76,81,-6,91,3:10,39,42,1426
12,El Baile Del Pingüino,Liberación,1/1/2001,102,80,75,-8,91,3:20,25,21,2513
13,Feliz Navidad,Margarita la diosa de la cumbia,11/22/2019,96,83,83,-5,71,4:23,8,29,7167
14,Eva María,Banda Maguey,1995,148,94,84,-5,98,2:48,33,48,8011
15,Me Volví A Acordar De Ti,Los Angeles De Charly,1/1/2009,146,58,66,-5,73,3:57,15,59,6219
16,Yo No Sé Mañana,Luis Enrique,5/19/2009,95,83,65,-3,73,4:20,65,76,8234
17,Mi Niña Mujer,Los Angeles Azules,2016,86,63,48,-4,81,3:14,41,69,7221
18,Ya Me Enteré,Chayín Rubio,5/11/2018,132,59,66,-4,69,3:09,84,77,4677
19,Que nadie sepa mi sufrir (Amor de mis amores),Margarita la diosa de la cumbia,10/26/2010,192,71,59,-6,96,4:19,14,58,7512
20,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,6/18/2018,124,48,71,-4,83,3:54,22,77,5762
21,Qué Bello,La Sonora Dinamita,10/25/2019,100,66,83,-4,75,4:15,35,55,6761
22,Nunca Es Suficiente,Los Angeles Azules,6/8/2018,94,50,80,-6,80,4:26,39,77,6430
23,El Malo,Carin Leon,8/2/2019,143,44,68,-6,79,2:57,73,65,719
24,Burrito Sabanero,Margarita la diosa de la cumbia,11/30/2019,104,72,93,-5,91,3:55,76,32,4718
25,La Flaca,J.L.B. Y Cía,1/1/2009,202,70,60,-8,96,3:39,35,34,7955
26,Fuerte No Soy,Intocable,1/1/1999,126,43,66,-11,46,4:27,12,69,2341
27,Un Sueño,Los Angeles De Charly,1/1/2002,149,67,66,-4,74,3:45,5,70,5548
28,El Superman,Los Cartageneros,5/6/2016,88,55,74,-9,71,3:29,50,44,2258
29,No Te Contaron Mal,Christian Nodal,5/10/2019,81,57,64,-3,65,2:37,37,76,4001
30,Vino Y Ron,J.L.B. Y Cía,1/1/2012,204,64,51,-8,85,3:13,37,28,3799
31,Ladrón,Alicia Villarreal,1/1/2001,87,68,81,-6,91,5:40,66,43,7760
32,El Listón De Tu Pelo,Los Angeles Azules,1/1/1999,81,43,70,-8,77,3:36,31,67,6251
33,Micaela,Alacranes Musical,1/1/2003,158,96,58,-3,94,3:56,15,45,6156
34,Un Monton De Estrellas,Polo Montañez,2004,93,65,50,-7,62,6:04,17,55,663
35,La Cumbia Del Lazo,J.L.B. Y Cía,1/1/1998,198,71,50,-7,96,2:39,22,45,987
36,Cumbia De La Alberca,Cumbias Sonideras,1/7/2019,172,38,84,-12,62,2:49,17,42,60
37,Mi Razón De Ser,Banda Sinaloense MS de Sergio Lizárraga,1/1/2012,125,54,73,-6,45,3:30,47,73,1983
38,Espero Que Te Acuerdes de Mi,Agrupación Cariño,1/14/2011,89,51,72,-13,90,3:31,7,52,9512
39,Yo No Soy Abusadora,Laura Leon,1/1/2009,116,84,90,-5,96,3:12,52,45,9873
40,A Través Del Vaso,Grupo Arranke,10/25/2017,144,70,62,-3,92,3:09,36,75,5442
41,Piensa En Mí,Grupo Mojado,1/1/1996,80,54,72,-9,81,2:57,35,70,26
42,La Chica Que Soñé,Tropical Panamá,1/1/1992,177,53,72,-8,82,3:11,27,55,6718
43,Talento De Televisión,Willie Colón,6/7/2010,105,80,78,-7,94,4:39,70,70,1374
44,Cumbia Morena,Control,1/1/2005,107,71,83,-6,97,3:15,20,46,2952
45,Pelotero A La Bola,J.L.B. Y Cía,1/1/1998,134,78,71,-8,83,3:01,27,42,7877
46,Mix Sonora Dinamita: La Parabólica / Maruja / Ay Chave,Los Tokes,5/6/2013,98,72,77,-8,49,5:16,1,32,6681
47,Vamonos de Fiesta,Banda El Recodo,3/11/1994,159,78,60,-8,96,3:08,37,50,4224
48,La niña fresa,Banda Zeta,10/25/2007,136,66,86,-10,96,2:41,13,58,8824
49,La Cumbia Te Llama,Aaron Y Su Grupo Ilusion,3/29/2019,177,74,54,-5,65,3:54,44,43,4770
50,Mis Sentimientos,Los Angeles Azules,2013,93,72,74,-5,80,3:37,21,71,773
51,Ojalá que te mueras,Pesado,7/20/2004,87,78,59,-6,85,3:01,31,67,3001
52,La Vecinita,K-Paz De La Sierra,1/1/2004,155,79,74,-6,98,2:36,15,53,1320
53,Escándalo,La Sonora Dinamita,10/25/2019,103,79,80,-4,73,4:38,43,50,7485
54,¿Y Todo Para Qué?,Intocable,1/1/1996,103,64,69,-8,78,3:11,34,70,4960
55,Cómo Te Voy A Olvidar,Los Angeles Azules,1/1/2014,83,47,65,-8,66,4:31,26,17,5027
56,La Chica de Humo,Zorro,5/6/2013,104,41,89,-15,93,2:46,7,41,5400
57,El Burrito de Belen (El Burrito Sabanero),La Rondallita,11/11/2013,105,45,74,-10,92,3:07,35,5,515
58,Pasito Tun Tun,J.L.B. Y Cía,1/1/1998,87,56,69,-9,78,2:56,45,36,5369
59,Agua De Té,Los Titanes De Durango,1/1/2009,156,94,70,-4,98,3:57,13,50,1177
60,"Suavecito, Suavecito",Laura Leon,1994,96,53,75,-9,90,3:46,64,2,5464
61,Tus Jefes No Me Quieren,Sonideros de MEX USA,4/12/2019,180,58,65,-8,96,3:44,18,64,9590
62,Bailame,Los Tigrillos,3/26/2002,114,90,87,-6,93,3:00,23,56,1335
63,Adiós Amor,Christian Nodal,8/25/2017,178,43,43,-6,72,3:19,17,77,7375
64,Borracho de Amor,Edwin Luna y La Trakalosa de Monterrey,5/14/2013,154,48,65,-6,94,3:24,70,71,3646
65,El Venao,Banda Caliente,1/12/2011,126,69,83,-12,70,3:23,9,31,3478
66,Oasis De Amor,Simba Musical,7/5/2011,89,90,72,-2,81,3:00,10,52,8924
67,"Tao, Tao",Control,1/1/2008,103,87,86,-5,95,2:52,21,49,6789
68,La Última Coca del Desierto,Los Master Plus,12/7/2018,204,76,47,-5,89,3:32,6,43,7845
69,Techno Cumbia,Selena,1/1/2005,91,69,73,-8,95,3:47,34,31,3162
70,Abusadora,Wilfrido Vargas,3/18/2003,155,90,71,-4,84,4:10,37,49,4466
71,La secretaria,Banda Machos,3/24/2009,143,82,83,-8,97,2:52,38,46,4328
72,Muchachita Consentida,Rayito Colombiano,1/1/1997,85,61,78,-6,93,3:32,29,69,6132
73,Se Menea,Los Karkik's,2008,154,90,56,-6,96,2:32,18,53,9979
74,El Botecito,Los Hijos Del Pueblo,6/17/2009,112,86,84,-9,92,2:30,17,62,1394
75,La Burbuja,Liberación,1/1/2001,95,86,65,-8,95,3:17,19,38,5233
76,Y Yo Sigo Aqui,Paulina Rubio,1/1/2000,126,95,77,-7,87,4:15,0,57,2265
77,you should see me in a crown,Billie Eilish,3/29/2019,150,53,68,-10,32,3:01,46,86,4790
78,We Can't Stop,Miley Cyrus,10/4/2013,80,62,61,-6,48,3:51,1,79,3705
79,Wannabe,Spice Girls,1/1/1996,110,86,77,-6,89,2:53,10,80,5453
80,Wake Me Up,Avicii,1/1/2013,124,78,53,-6,64,4:07,0,85,6641
81,Veneno,Anitta,11/9/2018,90,77,79,-5,30,2:38,5,69,2523
82,Umbrella,Rihanna,6/2/2008,174,83,58,-5,57,4:36,1,81,6198
83,Tu Sicaria,Ms Nina,1/4/2017,98,91,75,-7,69,2:27,5,81,8822
84,Tusa,KAROL G,11/7/2019,101,72,80,-3,57,3:21,30,96,2456
85,A Tu Manera [CORBATA],Sofia Reyes,10/11/2019,176,77,73,-4,56,2:55,3,70,4919
86,Toxic,Britney Spears,11/13/2003,143,84,77,-4,92,3:19,2,79,3632
87,Todavia,La Factoria,1/1/2009,113,90,79,-3,60,3:23,9,70,8960
88,Titanium (feat. Sia),David Guetta,12/7/2012,126,79,60,-4,30,4:05,7,80,4207
89,TiK ToK,Kesha,2010,120,83,76,-3,74,3:20,7,16,251
90,This Love,Maroon 5,2002,95,86,71,-5,81,3:26,5,78,7210
91,That's What I Like,Bruno Mars,11/17/2016,134,56,85,-5,86,3:27,1,84,471
92,Te Vi,Piso 21,12/14/2018,102,78,88,-4,71,3:52,4,85,7969
93,Ten Feet Tall,Afrojack,1/1/2014,127,86,52,-3,35,3:49,3,65,932
94,Tabú,Pablo Alborán,11/6/2019,100,81,75,-6,55,3:00,4,78,4882
95,Swing,Danny Ocean,3/22/2019,106,62,73,-6,53,2:35,46,80,3885
96,Sweet but Psycho,Ava Max,8/17/2018,133,70,72,-5,63,3:07,7,89,1089
97,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,12/14/2018,90,48,76,-6,91,2:38,56,90,9265
98,Starships,Nicki Minaj,1/1/2012,125,72,75,-2,75,3:31,14,65,9288
99,Sola,Manuel Turizo,11/9/2018,93,71,70,-5,86,3:15,48,67,7323
100,Shabadabada,OV7,1997,176,91,65,-3,81,3:55,10,66,4216
101,Señorita,Shawn Mendes,6/21/2019,117,54,76,-6,75,3:11,4,96,4671
102,Rehab,Amy Winehouse,1/1/2006,72,87,43,-3,73,3:34,5,75,1772
103,Promises (with Sam Smith),Calvin Harris,8/17/2018,123,77,78,-6,49,3:33,1,85,5718
104,Plata Ta Tá,Mon Laferte,11/15/2019,95,80,81,-6,54,4:16,16,72,3094
105,Party In The U.S.A.,Miley Cyrus,1/1/2009,96,70,65,-5,47,3:22,0,80,5447
106,Pa Mí - Remix,Dalex,5/10/2019,170,62,69,-8,73,6:01,75,86,2406
107,One Kiss (with Dua Lipa),Calvin Harris,4/6/2018,124,86,79,-3,59,3:35,4,86,4135
108,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,11/30/2018,114,79,60,-6,24,3:37,1,81,271
109,no tears left to cry,Ariana Grande,8/17/2018,122,71,70,-6,35,3:26,4,84,2324
110,No seas Celoso,Kim Loaiza,12/12/2019,103,47,89,-8,53,3:01,1,66,203
111,No Scrubs,TLC,2/23/1999,93,68,74,-4,59,3:34,3,80,5161
112,No Puedo Olvidarme Ti,MDO,1997,129,80,71,-6,61,3:31,20,62,5218
113,Ni Gucci Ni Prada,Kenny Man,9/14/2018,105,68,80,-6,91,2:55,41,77,3629
114,Mr. Brightside,The Killers,6/15/2004,148,93,35,-4,24,3:42,0,18,8039
115,The Middle,Zedd,1/23/2018,107,66,75,-3,44,3:05,17,85,5245
116,Mañana No Hay Clase (24/7),Sebastian Yatra,10/24/2019,180,73,78,-3,82,3:22,2,75,3430
117,Mala Fama,Danna Paola,3/28/2019,176,58,76,-4,82,3:02,20,75,8932
118,Look What You Made Me Do,Taylor Swift,11/10/2017,128,71,77,-6,51,3:32,20,70,1178
119,Loca (feat. Cali y El Dandee),Maite Perroni,5/12/2017,95,84,75,-3,64,3:54,11,67,4648
120,The Less I Know The Better,Tame Impala,7/17/2015,117,76,64,-4,74,3:36,1,20,8609
121,La Ventanita,Garibaldi,2010,125,84,91,-9,95,4:11,11,4,474
122,La Chica Del Bikini Azul,Luis Miguel,9/14/2010,145,79,64,-6,75,3:00,4,48,7541
123,LA CANCIÓN,J Balvin,6/28/2019,176,65,75,-6,43,4:03,15,93,8144
124,La Boca,Mau y Ricky,5/3/2019,186,80,62,-2,76,3:26,7,82,5820
125,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,Juan Luis Guerra 4.40,1/1/2013,138,98,59,-4,80,3:53,62,67,3841
126,Into You,Ariana Grande,5/20/2016,108,73,62,-6,37,4:04,2,81,2178
127,In the Name of Love,Martin Garrix,7/29/2016,134,52,50,-6,17,3:16,11,82,9822
128,Instagram - R3HAB Remix,Dimitri Vegas & Like Mike,11/8/2019,123,86,44,-4,50,2:32,6,31,5838
129,Hips Don't Lie (feat. Wyclef Jean),Shakira,11/28/2005,100,82,78,-6,76,3:38,28,81,7221
130,Happier,Marshmello,8/17/2018,100,79,69,-3,67,3:34,19,90,1064
131,Girls Like You (feat. Cardi B),Maroon 5,6/15/2018,125,54,85,-7,45,3:56,57,75,9386
132,Girlfriend,Avril Lavigne,4/17/2007,164,96,56,-2,67,3:37,0,12,1011
133,FRIENDS,Marshmello,2/9/2018,95,88,63,-2,53,3:23,21,85,435
134,Esclavo de Tus Besos,Manuel Turizo,2/15/2019,91,67,81,-5,52,3:39,11,77,9111
135,Enloquéceme,OV7,1997,107,92,81,-3,80,4:09,8,60,1774
136,DONTTRUSTME,3OH!3,7/7/2008,130,71,79,-4,51,3:13,2,70,3410
137,Detente,Mike Bahía,11/15/2019,172,59,74,-5,36,3:02,27,77,3792
138,Desconocidos,Mau y Ricky,10/12/2018,174,77,71,-5,71,3:24,15,81,4208
139,Créeme,KAROL G,11/2/2018,97,87,72,-4,68,3:32,15,78,7326
140,Con Altura,ROSALÍA,3/28/2019,98,69,88,-4,75,2:42,39,89,9761
141,Comerte Toda,Ghetto Kids,11/15/2019,180,85,62,-4,45,3:31,4,63,9406
142,Celoso,Lele Pons,8/17/2018,166,70,75,-4,67,3:00,35,72,7054
143,Bye Bye Bye,*NSYNC,10/21/2005,173,87,57,-4,81,3:20,2,60,5434
144,Buena Vibra,Mario Bautista,12/6/2019,106,72,77,-5,69,2:39,3,60,1541
145,Boomshakalaka,Dimitri Vegas & Like Mike,11/29/2019,96,82,73,-3,81,3:32,1,70,6940
146,Bidi Bidi Bom Bom - 1994 Version,Selena,1994,180,53,58,-12,91,3:31,33,60,7678
147,Believe,Cher,1998,133,92,65,-7,46,3:59,1,77,6829
148,Bad Liar,Selena Gomez,5/18/2017,121,41,97,-6,73,3:35,19,75,2674
149,bad guy,Billie Eilish,3/29/2019,135,43,70,-11,56,3:14,33,96,23
150,Baby Girl (feat. Lalo Ebratt),Mario Bautista,8/17/2018,103,71,80,-5,45,3:38,3,77,8047
151,Antes de Morirme (feat. Rosalía),C. Tangana,7/5/2016,98,50,87,-9,13,3:20,7,75,3825
152,Amigos Con Derechos,Reik,5/31/2019,184,81,68,-3,61,3:47,5,80,9019
153,Amiga Date Cuenta,Cubebass,6/29/2018,100,71,80,-10,33,2:46,1,60,2192
154,Amantes,Greeicy,11/3/2017,92,68,80,-4,64,3:55,14,73,8317
155,Alocao (With Bad Gyal),Omar Montes,10/24/2019,178,75,67,-5,70,3:29,21,84,9360
156,Ahora Te Puedes Marchar,Luis Miguel,7/15/1987,133,88,78,-4,91,3:12,15,78,3921
157,7 rings,Ariana Grande,2/8/2019,140,32,78,-11,33,2:59,59,92,3972
158,1999,Charli XCX,9/13/2019,124,73,75,-5,63,3:09,2,67,2173
159,Llorar,Los Socios Del Ritmo,1999,172,59,78,-7,96,3:43,6,70,500
160,La Planta,Caos,9/12/2014,115,80,70,-6,65,4:06,2,72,5905
161,Golpes En El Corazón,Los Tigres Del Norte,1/1/2011,113,74,49,-6,58,4:41,45,66,4430
162,Los Caminos De La Vida,La Tropa Colombiana,9/17/2015,74,58,69,-7,90,4:54,46,51,3967
163,Desvelado,Bobby Pulido,1/1/2008,174,67,67,-8,89,3:42,7,60,8384
164,Así Es la Vida,Elefante,8/30/2002,98,67,80,-8,64,5:09,13,68,367
165,Amargo Adiós,Inspector,1/1/2004,139,57,61,-8,78,3:50,19,69,2199
166,Mis Sentimientos,Los Angeles Azules,2/25/2014,93,72,74,-5,80,3:37,21,48,567
167,La Chica De Humo - MTV Unplugged,Emmanuel,10/27/2017,102,73,77,-6,27,4:59,9,74,934
168,Mas de Lo Que Te Imaginas (Classic Version),The Sacados,5/4/2018,179,84,66,-7,75,3:39,6,66,5550
169,Sergio el Bailador,Bronco,1985,90,67,79,-12,98,2:50,31,64,8370
170,Te Aprovechas,Grupo Limite,6/6/1995,162,44,76,-12,87,3:08,13,59,1046
171,Con Calma - Remix,Daddy Yankee,4/19/2019,94,87,74,-3,61,3:01,17,76,5563
172,Por Mujeres Como Tu,Pepe Aguilar,2/20/2004,92,29,57,-8,36,4:21,86,69,1235
173,Another One Bites The Dust - Remastered 2011,Queen,6/27/1980,110,53,93,-6,76,3:35,11,75,9848
174,La Camisa Negra,Juanes,1/1/2005,97,73,75,-4,97,3:35,9,12,9193
175,No Me Importa el Dinero (feat. Julieta Venegas) - Vivo en el Palacio de los Deportes,Los Auténticos Decadentes,5/10/2012,90,76,63,-5,81,3:55,35,66,5079
176,Toda La Vida - MTV Unplugged,Emmanuel,10/27/2017,114,81,73,-5,66,4:41,5,60,455
177,Saxofon - Original,Gio Silva,7/25/2018,128,96,88,-4,38,4:38,0,53,2771
178,Para No Verte Más,La Mosca Tse-Tse,2000,99,82,66,-7,84,3:12,2,72,8384
179,La Dosis Perfecta,Panteon Rococo,10/16/2015,155,77,67,-6,97,4:16,5,68,7733
180,A Mi Que Me Quedo,Los Invasores De Nuevo León,1/1/1997,160,45,74,-12,87,2:41,5,64,1035
181,Te Lo Pido por Favor,Jaguares,10/22/2002,106,66,65,-6,53,3:26,12,71,8314
182,Suave,Luis Miguel,1993,104,68,61,-10,44,4:50,6,70,1336
183,Mujeres,Ricardo Arjona,8/1/1989,106,63,76,-9,88,3:26,38,70,6101
184,Que Bello,Sonora Tropicana,10/29/2011,204,47,66,-8,93,4:10,26,5,6979
185,Viernes Sin Tu Amor,Vagon Chicano,1/1/2002,176,45,69,-8,85,3:32,40,65,1306
186,Loco,Pesado,2/13/2001,136,71,77,-7,96,3:56,11,64,9118
187,Cómo Estás Tú,Liberación,1/1/1992,93,76,65,-6,93,2:57,21,64,8467
