#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,Label
1,Solve,Behemoth,10/5/2018,116,74,36,-9,3,2:05,2,33,4506,0
2,Bartzabel,Behemoth,10/5/2018,109,91,47,-6,18,5:01,2,48,1056,0
3,Ora Pro Nobis Lucifer (Live),Behemoth,4/13/2018,172,96,18,-6,4,6:20,0,19,7333,0
4,Amen (Live),Behemoth,4/13/2018,128,97,24,-7,4,3:54,0,23,6829,0
5,The Satanist (Live),Behemoth,4/13/2018,112,89,32,-7,23,6:35,0,25,6663,0
6,Ben Sahar (Live),Behemoth,4/13/2018,111,90,24,-7,19,5:33,0,15,6352,0
7,In the Absence Ov Light (Live),Behemoth,4/13/2018,127,85,25,-8,11,4:54,0,13,7997,0
8,O Father O Satan O Sun! (Live),Behemoth,4/13/2018,84,81,16,-7,11,8:45,0,18,1126,0
9,System 11:11,Powerman 5000,1/1/1999,81,52,62,-15,59,0:48,78,25,8086,0
10,Kiss The Go-Goat,Ghost,9/13/2019,130,85,47,-4,55,3:16,0,64,746,0
11,The Bottom,Staind,9/13/2011,138,78,57,-4,41,4:16,0,39,685,0
12,Cars,Fear Factory,9/1/2009,128,88,68,-5,74,3:28,1,48,7637,0
13,Head Like A Hole,Nine Inch Nails,1/1/1989,115,83,67,-12,42,5:00,1,41,1713,0
14,Decompose,Wednesday 13,9/27/2019,134,82,39,-9,29,4:25,0,27,8869,0
15,Fall Again,Professional Murder Music,1/1/2001,93,86,39,-6,50,3:55,0,13,726,0
16,107,Orgy,9/29/2000,107,78,62,-6,32,4:14,0,24,1971,0
17,Spookshow Baby,Rob Zombie,1/1/1998,125,100,56,-3,14,3:38,1,45,5715,0
18,Consider This,Filter,4/14/1995,179,81,38,-11,33,4:19,0,25,2191,0
19,Stem,Static-X,3/19/1999,79,95,50,-6,24,2:55,0,37,5827,0
20,11th Hour,Lamb of God,5/5/2003,103,98,33,-4,20,3:44,0,39,1462,0
21,Jump,Powerman 5000,8/30/2011,135,97,44,-2,49,3:12,1,24,5899,0
22,Hate My Life,Theory of a Deadman,4/1/2008,126,83,51,-4,45,3:11,2,61,3355,0
23,The Thunder Rolls - Cover,All That Remains,4/28/2017,160,90,33,-5,23,4:23,0,59,4711,0
24,Bodies,Drowning Pool,1/1/2001,131,93,66,-3,53,3:22,0,73,1341,0
25,My Own Summer (Shove It),Deftones,10/27/1997,72,78,44,-4,37,3:35,0,68,2336,0
26,Cold,Static-X,5/22/2001,150,98,46,-3,72,3:39,0,56,7612,0
27,Sweet Dreams (Are Made Of This),Marilyn Manson,1995,186,66,22,-5,10,4:53,0,66,599,0
28,Redneck,Lamb of God,8/19/2006,131,100,51,-2,6,3:41,0,65,6395,0
29,Ov Fire And The Void,Behemoth,2009,130,98,47,-4,13,4:27,0,47,2587,0
30,Duality,Slipknot,2004,144,98,35,-3,19,4:13,0,78,6847,0
31,Thunder Kiss '65,White Zombie,1/1/1992,113,85,68,-10,51,3:54,0,64,9309,0
32,Linchpin,Fear Factory,4/16/2001,112,87,69,-3,53,3:25,0,60,9350,0
33,Living Dead Girl,Rob Zombie,1/1/1998,103,95,52,-6,55,3:21,1,65,1828,0
34,The Only,Static-X,10/7/2003,105,98,43,-3,29,2:51,0,63,45,0
35,Dig,Mudvayne,8/13/2000,135,98,62,-4,27,2:42,0,64,1819,0
36,Psychosocial,Slipknot,8/20/2008,135,98,57,-4,31,4:44,0,70,7445,0
37,Mudshovel,Staind,4/13/1999,107,83,33,-5,34,4:42,0,65,8992,0
38,Laid to Rest,Lamb of God,8/31/2004,104,96,37,-4,16,3:50,0,67,733,0
39,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,5/16/2000,142,85,27,-5,18,5:00,0,68,5277,0
40,You Spin Me Round (Like A Record),Dope,9/6/1999,129,88,60,-5,71,2:44,0,62,7926,0
41,Raining Blood,Slayer,1/1/1986,89,100,29,-4,4,4:14,0,64,977,0
42,New Disease,Spineshank,10/2/2000,122,91,57,-4,28,3:15,0,55,1267,0
43,Down with the Sickness,Disturbed,2/25/2000,90,88,70,-4,94,4:39,0,76,5006,0
44,I Stand Alone,Godsmack,4/8/2003,167,92,22,-4,38,4:06,0,69,3060,0
45,I'm with Stupid,Static-X,3/19/1999,138,98,55,-5,49,3:25,0,55,3195,0
46,Got the Life,Korn,8/18/1998,123,91,50,-6,58,3:45,0,70,5868,0
47,Roots Bloody Roots,Sepultura,2/20/1996,120,87,43,-7,26,3:32,0,62,9068,0
48,Jumpdafuckup,Soulfly,1/1/2000,101,95,60,-5,24,5:12,1,58,9871,0
49,Walk with Me In Hell,Lamb of God,8/19/2006,111,98,29,-4,12,5:12,0,61,7765,0
50,The Hand That Feeds,Nine Inch Nails,1/1/2005,128,99,59,-4,49,3:32,2,62,5245,0
51,Break Stuff,Limp Bizkit,1999,109,88,43,-7,62,2:47,1,73,9018,0
52,Stitches,Orgy,8/18/1998,97,92,46,-6,62,3:19,0,48,724,0
53,Superbeast,Rob Zombie,1/1/1998,154,98,52,-4,32,3:40,0,63,2718,0
54,Lucifer,Behemoth,2009,120,91,17,-5,4,8:07,0,35,4972,0
55,Capital M-E,Taking Back Sunday,5/29/2009,130,96,51,-5,64,2:48,0,35,3434,0
56,Twilight Of The Thunder God,Amon Amarth,9/30/2008,191,92,37,-5,28,4:09,0,66,847,0
57,Let It Go,Cavo,8/7/2009,141,94,44,-4,47,3:47,1,36,187,0
58,Meet The Creeper,Rob Zombie,1/1/1998,115,99,52,-5,39,3:13,0,48,2749,0
59,The Devil in I,Slipknot,10/15/2014,92,94,40,-3,24,5:43,1,73,695,0
60,Daimonos,Behemoth,2009,130,99,22,-4,4,5:15,0,33,7778,0
61,Burning Down the House,The Used,3/3/2009,103,86,50,-4,22,3:39,0,20,2065,0
62,Faith [When I Let You Down],Taking Back Sunday,6/28/2011,162,75,38,-6,27,3:09,0,40,6115,0
63,Head Above Water,Theory of a Deadman,7/8/2011,75,84,35,-3,44,3:32,0,40,5246,0
64,"I'm Your Boogieman - From ""The Crow: City Of Angels"" Soundtrack",White Zombie,1/1/2008,114,99,62,-4,41,4:29,0,37,3133,0
65,Set The World On Fire,Black Veil Brides,1/1/2011,200,94,38,-4,66,3:39,0,45,5288,0
66,The Only Hope for Me Is You,My Chemical Romance,11/5/2010,126,85,48,-4,13,4:33,0,55,2434,0
67,Transformers: The Fallen Remix,Cheap Trick,6/12/2009,136,95,37,-5,9,5:06,0,30,7701,0
68,Angel Of Death,Slayer,1/1/1986,90,100,28,-4,10,4:51,0,59,5306,0
69,Chant for Ezkaton 2000 E.V.,Behemoth,4/21/2007,180,99,39,-4,5,5:11,0,41,7495,0
70,Freezing Moon,Mayhem,1994,93,97,17,-9,9,6:23,0,53,4564,0
71,Dunkelheit,Burzum,1996,55,55,30,-9,44,7:05,0,52,7017,0
72,Get Thru This,Art Of Dying,3/18/2011,136,96,61,-3,50,2:43,0,40,6403,0
73,Unchain My Soul,Dark Funeral,6/3/2016,114,100,42,-6,3,5:20,0,45,6031,0
74,Radix Malorum,Gorgoroth,6/8/2015,105,86,32,-4,31,3:14,0,44,8399,0
75,My Funeral,Dark Funeral,11/18/2009,160,99,15,-5,3,5:33,0,42,6785,0
76,Hammer Smashed Face,Cannibal Corpse,1992,97,98,36,-7,37,4:03,0,55,64,0
77,Technical Difficulties,Julien-K,10/20/2009,145,99,55,-4,34,4:22,0,22,4016,0
78,Silvera,Gojira,6/17/2016,137,96,33,-4,24,3:33,0,62,8941,0
79,Funeral Fog,Mayhem,1994,154,96,11,-9,13,5:47,0,43,62,0
80,Gateways,Dimmu Borgir,9/24/2010,165,94,17,-4,15,5:10,0,50,2728,0
81,A Fine Day to Die,Bathory,1/1/1988,123,93,23,-9,4,8:36,0,48,6073,0
82,Hourglass,Lamb of God,8/31/2004,116,98,35,-3,15,4:00,0,55,9752,0
83,The Blond Beast,Marduk,2/10/2015,125,100,43,-5,3,4:26,0,44,1954,0
84,I Don't Think I Love You,Hoobastank,1/1/2009,124,91,54,-4,61,3:40,0,37,330,0
85,Walk,Pantera,2/21/1992,118,70,43,-8,70,5:15,0,74,6999,0
86,Retina and the Sky,Idiot Pilot,8/6/2007,165,94,33,-4,45,3:38,0,24,1384,0
87,The Pursuit Of Vikings,Amon Amarth,2004,130,97,51,-3,49,4:30,0,60,9165,0
88,Slaughter Of The Soul,At The Gates,1995,79,98,13,-7,39,3:03,0,52,5237,0
89,Not Meant to Be,Theory of a Deadman,4/1/2008,143,78,42,-7,26,3:35,0,59,2632,0
90,Almost Easy,Avenged Sevenfold,10/26/2007,175,96,38,-5,34,3:54,0,64,3524,0
91,New Divide,Linkin Park,2007,118,81,49,-3,38,4:29,0,55,8730,0
92,Transformers Theme,Mutemath,6/27/2007,120,88,58,-7,59,2:46,3,16,7697,0
93,Second to None,Styles Of Beyond,10/22/2012,110,90,73,-5,80,3:05,2,41,7340,0
94,This Moment,Disturbed,2011,172,96,50,-4,67,3:06,0,52,6719,0
95,End of the World,Armor For Sleep,10/29/2007,161,92,39,-5,34,4:11,0,36,6611,0
96,What's It Feel Like to Be a Ghost?,Taking Back Sunday,4/25/2006,148,88,45,-5,63,3:48,1,50,9112,0
97,Pretty Handsome Awkward,The Used,5/18/2007,105,98,54,-4,26,3:35,0,60,3335,0
98,Before It's Too Late - Sam and Mikaela's Theme,The Goo Goo Dolls,9/14/2007,87,72,23,-4,42,3:06,0,35,1594,0
99,The Shooting Star,Gojira,6/17/2016,126,84,50,-5,32,5:42,0,57,4875,0
100,The Cell,Gojira,6/17/2016,113,97,22,-4,16,3:18,0,54,7245,0
101,Stranded,Gojira,6/17/2016,92,88,51,-5,50,4:30,0,66,5625,0
102,Yellow Stone,Gojira,6/17/2016,119,51,37,-9,71,1:19,14,48,3519,0
103,Magma,Gojira,6/17/2016,67,89,38,-6,19,6:42,0,52,7184,0
104,Pray,Gojira,6/17/2016,103,95,44,-6,6,5:14,0,50,8302,0
105,Only Pain,Gojira,6/17/2016,99,95,39,-5,32,4:00,0,53,1686,0
106,Low Lands,Gojira,6/17/2016,98,83,38,-8,6,6:04,0,49,6804,0
107,Liberation,Gojira,6/17/2016,103,11,50,-31,18,3:35,96,45,4714,0
108,Garden of Earthly Delights,Opeth,9/27/2019,73,21,21,-19,9,3:29,64,42,383,0
109,Dignity,Opeth,9/27/2019,120,74,45,-9,13,6:36,0,48,8841,0
110,The Garroter,Opeth,9/27/2019,103,53,25,-9,13,6:45,35,41,4801,0
111,Continuum,Opeth,9/27/2019,130,54,51,-9,25,7:23,0,40,4869,0
112,All Things Will Pass,Opeth,9/27/2019,130,58,41,-8,24,8:33,0,41,4382,0
113,Lend Me The Eyes Of Millennia,Ihsahn,5/4/2018,173,70,8,-7,6,5:48,0,33,5213,0
114,Arcana Imperii,Ihsahn,5/4/2018,136,86,33,-6,24,4:53,0,37,2158,0
115,Sámr,Ihsahn,5/4/2018,114,60,56,-6,27,5:27,0,30,9328,0
116,One Less Enemy,Ihsahn,5/4/2018,144,83,46,-6,25,5:18,0,28,4633,0
117,Where You Are Lost And I Belong,Ihsahn,5/4/2018,90,62,39,-9,11,5:13,0,26,1821,0
118,In Rites Of Passage,Ihsahn,5/4/2018,98,89,52,-7,13,4:04,0,25,1005,0
119,Marble Soul,Ihsahn,5/4/2018,188,88,36,-6,27,4:04,1,25,1903,0
120,Twin Black Angels,Ihsahn,5/4/2018,126,52,68,-7,53,4:40,0,27,849,0
121,Wake,Ihsahn,5/4/2018,120,93,24,-5,17,4:25,0,28,4539,0
122,Aletheia,Sigh,11/16/2018,134,94,48,-7,26,7:24,0,21,1336,0
123,Heresy I: Oblivium,Sigh,11/16/2018,120,74,64,-9,48,7:28,2,15,4901,0
124,Heresy II: Acosmism,Sigh,11/16/2018,79,62,38,-13,36,1:46,52,13,4029,0
125,Heresy III: Sub Species Aeternitatis,Sigh,11/16/2018,156,66,32,-10,34,2:27,70,12,3481,0
126,Opening Theme: Lucid Nightmare,Sigh,3/12/2012,134,80,23,-8,31,1:59,35,8,5409,0
127,Somniphobia,Sigh,3/12/2012,150,81,34,-6,22,7:34,2,11,5431,0
128,L'excommunication A Minuit,Sigh,3/12/2012,76,97,34,-6,20,5:39,4,9,8432,0
129,Far Beneath The In-Between,Sigh,3/12/2012,176,91,17,-6,25,7:10,2,7,7530,0
130,Amongst The Phantoms Of Abandoned Tumbrils,Sigh,3/12/2012,145,97,25,-7,4,9:31,2,8,9337,0
131,Ending Theme: Continuum,Sigh,3/12/2012,88,74,50,-10,9,1:42,31,5,527,0
132,I Sang for the Swans,Ved Buens Ende,12/7/2018,155,89,19,-8,21,7:01,0,18,6876,0
133,Coiled in Wings,Ved Buens Ende,12/7/2018,147,81,19,-9,33,7:04,0,10,8773,0
134,Autumn Leaves,Ved Buens Ende,12/7/2018,83,58,25,-9,32,5:07,2,10,632,0
135,Remembrance of Things Past,Ved Buens Ende,12/7/2018,114,68,29,-11,19,8:55,1,9,3279,0
136,To Swarm Deserted Away,Ved Buens Ende,12/7/2018,67,11,15,-20,16,2:15,100,8,4347,0
137,I.F.L.Y.,Bazzi,8/9/2019,105,52,81,-5,55,2:46,38,88,3415,0
138,We Are the Legion,Crashdiet,9/13/2019,120,90,51,-6,25,4:04,1,30,9036,0
139,Crazy,Crashdiet,9/13/2019,170,82,41,-7,46,3:06,0,25,8660,0
140,Parasite,Crashdiet,9/13/2019,132,79,48,-7,51,3:30,0,24,8042,0
141,Waiting for Your Love,Crashdiet,9/13/2019,108,61,51,-8,31,4:25,12,23,7098,0
142,Reptile,Crashdiet,9/13/2019,136,95,50,-6,33,3:26,0,34,8284,0
143,Stop Weirding Me Out,Crashdiet,9/13/2019,82,92,44,-6,54,3:22,0,23,1428,0
144,Filth & Flowers,Crashdiet,9/13/2019,94,76,48,-8,44,4:09,0,22,165,0
145,Destination Dust,Sister,11/25/2016,120,98,27,-4,19,3:46,0,13,8303,0
146,Endangered Species,Sister,11/25/2016,140,97,48,-5,17,3:34,0,7,2819,0
147,Piece of Shame,Sister,11/25/2016,100,97,51,-4,27,3:28,0,7,5930,0
148,Happy?,Mudvayne,2005,100,97,55,-3,38,3:36,0,69,7687,0
149,Happy?,Mudvayne,2005,100,97,55,-3,38,3:36,0,69,9404,0
150,Stranded,Gojira,6/17/2016,92,88,51,-5,50,4:30,0,66,6308,0
151,This Is It,Staind,1/1/2008,184,78,32,-3,32,3:44,0,27,1996,0
152,Just Got Paid,Mastodon,3/3/2009,96,95,44,-4,61,3:34,0,31,687,0
153,Real World,The All-American Rejects,1/1/2008,162,90,51,-4,72,4:03,0,35,6697,0
154,Monster - Transformers Soundtrack Version,Paramore,6/6/2011,165,97,41,-3,37,3:20,0,60,6208,0
155,All Out Life,Slipknot,10/31/2018,107,97,50,-3,5,5:40,0,71,626,0
156,Iridescent (Version 2),Linkin Park,2007,120,69,58,-6,38,4:00,8,42,286,0
157,Quintessence,Darkthrone,1/1/2010,137,74,15,-5,28,7:37,0,41,9548,0
158,Cybertron,Steve Jablonsky,10/1/2007,81,14,7,-22,3,2:46,20,36,1035,0
159,I Am The Black Wizards,Emperor,2/21/1994,104,95,15,-6,9,6:01,0,47,4570,0
160,Myr,Taake,2011,155,99,11,-5,4,5:34,0,28,4160,0
161,Armageddon Death Squad,Impaled Nazarene,11/3/2003,185,98,22,-5,13,2:55,0,33,2132,0
162,Havenless,Enslaved,2003,135,85,33,-7,70,5:35,0,42,8792,0
163,Black Seeds On Virgin Soil,Old Man's Child,2003,92,88,44,-6,8,4:57,0,36,6409,0
164,Abyssos Antithesis,1349,10/18/2019,195,91,10,-12,7,5:30,0,37,5043,0
165,Transilvanian Hunger - Studio,Darkthrone,2/17/1994,139,100,27,-5,2,6:10,2,45,2260,0
166,Mouth of Madness,Tsjuder,2004,117,93,25,-6,26,8:02,0,35,1353,0
167,Profetens Åpenbaring,Gorgoroth,12/5/2011,126,95,45,-7,44,4:27,0,40,8567,0
168,It's Darker than you Think,Carpathian Forest,2003,82,92,28,-7,11,4:42,0,35,8285,0
169,Mighty Ravendark,Immortal,7/6/2018,105,99,16,-6,5,9:15,0,43,6045,0
170,Empty Streets,In The Woods...,11/23/2018,115,78,48,-9,22,9:18,0,34,1110,0
171,Lifehunger,Vreid,9/28/2018,176,93,21,-7,16,5:36,0,34,8544,0
172,Forward!,Anaal Nathrakh,9/28/2018,150,100,44,-5,3,3:29,0,49,7316,0
173,Open the Gates,Dark Funeral,1/28/1996,196,98,7,-8,4,4:34,0,31,7843,0
174,The Shivering Voice of the Ghost,Gehenna,2008,123,87,20,-6,17,6:04,0,32,9999,0
175,Up North,Borknagar,9/27/2019,108,96,16,-6,14,6:30,0,46,430,0
176,The Arcturian Sign,Arcturus,5/8/2015,179,87,14,-8,20,5:06,0,33,4170,0
177,Malfeitor,Watain,2010,155,90,11,-6,7,6:58,0,41,8680,0
178,Werwolf,Marduk,6/22/2018,155,100,41,-5,18,2:03,0,38,2722,0
179,Withstand The Fall Of Time,Immortal,1999,133,96,16,-4,6,8:30,0,44,357,0
180,Inno A Satana,Emperor,2/21/1994,155,93,11,-6,5,4:49,0,38,3070,0
181,I Am Abomination,1349,10/24/2005,124,96,18,-5,5,4:11,0,32,8187,0
182,Jesus' Tod,Burzum,1996,80,93,28,-8,3,8:39,0,48,5574,0
183,Hades,Bathory,1/1/1984,101,92,26,-8,20,2:50,0,42,8665,0
184,Mylder,Kampfar,1/27/2014,160,90,33,-6,18,6:37,0,31,9938,0
185,I Troldskog Faren Vild,Ulver,1994,143,91,15,-8,15,7:51,0,38,2026,0
186,Goatcraft Torment,Urgehal,7/10/2006,136,93,15,-6,24,4:00,0,32,9018,0
187,Sluts of Hell,Nattefrost,2004,160,98,29,-4,4,3:11,0,27,3507,0
188,Vinterskugge,Isengard,5/21/2002,115,94,18,-4,28,5:17,4,29,8401,0
189,Hordalands Doedskvad Part I,Taake,2005,150,90,13,-5,13,7:43,0,23,8845,0
190,Ye Entrancemperium,Emperor,5/12/1997,139,94,14,-4,4,5:15,0,40,166,0
191,Black Crow on a Tombstone,Satyricon,9/4/2008,120,91,63,-5,32,3:50,0,40,9959,0
192,A Venomous Kiss of Profane Grace,Limbonic Art,11/15/2009,90,77,32,-5,36,7:06,0,24,6874,0
193,Traces of Reality,Dødheimsgard,1998,120,87,18,-6,11,7:07,0,22,4024,0
194,The Blacksmith and the Troll of Lundamyri,Windir,10/20/1999,151,97,12,-2,18,9:02,0,32,872,0
195,Höyt opp i dypet,Trelldom,4/21/2008,124,100,17,-2,3,5:10,0,21,6081,0
196,Evil Church,Enthroned,10/11/1997,89,98,21,-9,4,4:39,0,24,4147,0
197,Cave of the Dark Dreams,Behexen,5/27/2016,93,99,19,-5,3,3:49,0,27,9633,0
198,Trumpets of Doom,Lord Belial,9/26/2008,150,100,24,-2,15,5:10,0,22,5383,0
199,The Cainian Chronicle Part II: Lilith's Embrace,Ancient,1996,146,99,13,-7,4,6:16,0,21,9458,0
200,Stellar Master Elite,Thorns,2001,150,98,48,-7,6,3:54,0,23,7838,0
201,Kuoleva Lupaus,Horna,2005,143,29,13,-4,24,7:34,0,30,6063,0
202,Harvest,Naglfar,2007,100,85,49,-7,11,7:10,0,36,1196,0
203,Hvite Krists Død,Satyricon,1994,151,96,18,-8,8,8:28,0,38,4931,0
204,Deathcrush,Mayhem,1993,121,91,22,-9,21,3:33,0,46,7162,0
205,Djevelen I Nord,Nordjevel,2015,115,99,36,-4,4,4:15,0,29,2800,0
206,Satanic Black Metal in Hell,Urgehal,7/10/2006,117,95,28,-6,11,4:34,0,36,4130,0
207,Dark Medieval Times,Satyricon,1993,130,92,26,-11,38,8:12,2,34,9107,0
208,Lost Wisdom,Burzum,1993,135,71,24,-7,18,4:38,0,42,6688,0
209,Nemesis,Azaghal,1/30/2012,90,98,34,-5,12,4:43,0,24,860,0
210,Pillars Of Mercy,Absu,7/1/2008,146,99,27,-7,16,4:22,0,30,3397,0
211,Boudica,Aeternus,10/12/2018,120,74,50,-12,8,4:48,0,16,9453,0
212,I,Taake,1999,173,98,8,-3,3,5:56,10,28,483,0
213,Moribund,Koldbrann,2006,172,99,8,-4,9,5:36,0,14,6225,0
214,Tornekratt,Kampfar,11/13/2015,71,98,22,-4,6,5:05,0,30,2388,0
215,Fuck the Universe,Craft,9/17/2005,143,96,14,-7,9,5:00,0,30,3079,0
216,Ars Manifestia,Kvist,1996,176,89,17,-9,23,5:16,0,19,4297,0
217,Djävulens Ande,Ondskapt,11/25/2008,124,100,30,-3,3,7:12,0,19,8139,0
218,Djevelen i Menneskeform,Blodhemn,5/18/2012,160,99,17,-5,15,5:10,0,19,4168,0
219,A World in Hell,Setherial,8/9/2010,164,92,9,-7,5,5:03,0,12,4529,0
220,Þursvitnir,Arckanum,10/27/2009,163,95,18,-2,8,5:52,0,16,9742,0
221,All Hail Satan,Svarttjern,4/29/2016,160,100,14,-4,7,4:42,0,21,9637,0
222,Baklengs Mot Intet,Helheim,12/9/2016,130,88,34,-6,12,7:19,0,17,5399,0
223,The Descent to the Last Circle,Darkened Nocturn Slaughtercult,7/23/2010,195,98,17,-9,28,3:46,0,24,6602,0
224,Tusen år har gått,Mörk Gryning,1/1/1995,94,98,21,-6,7,3:34,0,20,2338,0
225,Death Satan Black Metal,Krypt,12/15/2008,156,99,11,-4,4,4:40,0,15,8523,0
226,Seven Headed Snake,Svartsyn,6/9/2017,101,87,32,-7,3,7:25,0,16,6030,0
227,Blood of Christians on My Sword,Graveland,12/31/1995,122,97,20,-12,5,8:06,0,20,2531,0
228,Only True Believers,Armagedda,1/3/2003,153,100,18,-5,11,3:53,0,20,7792,0
229,Her er ikke spor af mennesker,Djevel,3/23/2018,165,94,9,-6,12,5:13,0,24,1757,0
230,Residual Blight,Kriegsmaschine,1/1/2018,125,99,39,-6,5,7:22,0,33,6990,0
231,Satananda,Baptism,7/22/2016,125,69,30,-5,19,6:55,0,17,8444,0
232,From Chaos They Came,Inquisition,8/26/2016,120,98,41,-6,10,4:39,0,31,1309,0
233,The Eternal Darkness I Adore,KULT,9/14/2018,95,95,14,-8,11,5:43,0,16,6919,0
234,All Hail Darkness and Evil,Abigor,1/3/2018,169,99,13,-5,5,4:03,0,16,3097,0
235,Trollfader Djävulen,Domgård,6/14/2019,160,94,29,-8,44,3:28,0,13,3564,0
236,Riphyon- The Tree of Assiyah Putrescent,Mephorash,9/5/2015,135,85,17,-7,4,9:29,0,27,1031,0
237,In Melancholy...,Blodsrit,5/18/2012,117,96,26,-8,4,5:26,0,12,5387,0
238,I döden,Skogen,4/7/2014,77,88,18,-10,13,7:02,0,23,1385,0
239,Blodmåne,Elände,2/14/2018,170,94,19,-8,4,4:09,2,13,7334,0
240,Blackwinged Messiah,Beastcraft,11/21/2017,140,69,23,-5,14,4:59,0,13,8879,0
241,The Alpha of the Antichrist,Ofermod,6/14/2017,155,100,27,-6,3,5:42,0,14,31,0
242,Med Vold Skal Takes Kristenliv,Troll,1995,119,99,17,-7,3,3:06,2,15,4678,0
243,Warfare,Zyklon-B,2/12/2016,93,91,17,-13,4,5:35,0,20,4605,0
244,Flommen,Isvind,6/26/2015,130,91,36,-6,5,6:01,0,14,2220,0
245,Der Kulden Rår,Khold,5/26/2008,140,97,43,-3,45,3:28,0,17,3338,0
246,Traby Zaglady Cz. Ii,Plaga,2013,179,79,7,-7,12,7:33,0,24,1923,0
247,Ravens of My Funeral,Mutiilation,6/13/2014,138,100,15,-7,3,7:42,60,19,5239,0
248,Sangvis Serpentis,Negator,10/18/2019,127,93,48,-8,23,4:50,0,22,2246,0
249,The Knell and the World,Dawn,1998,176,99,8,-6,3,9:04,0,21,6521,0
250,Imperator Noctis,Astrophobos,1/18/2019,187,76,19,-4,4,6:52,0,16,6567,0
251,Night of Whispering Souls,Tryglav,5/31/2019,110,99,38,-5,4,5:35,0,23,3191,0
252,Gitt Til Odin,Whoredom Rife,12/18/2016,187,90,11,-6,3,5:44,0,19,8118,0
253,Unearthly Love Palace,Gehenna,2008,105,97,26,-6,18,5:45,0,25,223,0
254,"In the Valley of Death, I AM Their King",Judas Iscariot,2002,161,99,11,-10,4,6:40,0,27,1277,0
255,Post Modern Sadist,Ov Hell,6/1/2012,120,94,31,-7,9,4:45,0,7,3995,0
256,Metamorphosis,Funeral Mist,6/15/2018,45,70,13,-7,14,7:35,0,33,4422,0
257,Slave til en kommende natt,Trelldom,4/21/2008,142,99,28,-4,18,5:45,0,17,4956,0
258,Crowned Serpent,Valkyrja,11/26/2018,98,99,22,-10,3,3:52,0,27,9149,0
259,Livets Löfte,Sorhin,1/1/2000,178,99,8,-5,4,5:16,0,10,3129,0
260,Jesus Christ Father of Lies,Archgoat,9/14/2018,121,95,22,-8,4,3:29,0,27,1266,0
261,Doomsday Elite,Sarkom,2013,83,95,31,-5,10,4:31,0,2,9936,0
262,Loputon Viha,Sielunvihollinen,4/19/2019,170,98,29,-4,16,3:42,0,21,5606,0
263,Sword of the Necromancer,Halphas,12/15/2017,150,95,31,-7,8,7:35,0,11,448,0
